IUPAC,image_url,descr
Methane,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Methane-2D-dimensions.svg/170px-Methane-2D-dimensions.svg.png,"Methane (US: /ˈmɛθeɪn/ METH-ayn, UK: /ˈmiːθeɪn/ MEE-thayn) is a chemical compound with the chemical formula CH4 (one carbon atom bonded to four hydrogen atoms). It is a group-14 hydride, the simplest alkane, and the main constituent of natural gas. The abundance of methane on Earth makes it an economically attractive fuel, although capturing and storing it is hard because it is a gas at standard temperature and pressure."
Ethanol,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Ethanol-2D-flat.svg/110px-Ethanol-2D-flat.svg.png,"Ethanol (also called ethyl alcohol, grain alcohol, drinking alcohol, or simply alcohol) is an organic compound with the chemical formula CH3CH2OH. It is an alcohol, with its formula also written as C2H5OH, C2H6O or EtOH, where Et stands for ethyl. Ethanol is a volatile, flammable, colorless liquid with a characteristic wine-like odor and pungent taste.[13][14] As a psychoactive depressant, it is the active ingredient in alcoholic drinks, and the second most consumed drug globally behind caffeine.[15]"
Acetic acid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Acetic-acid-2D-skeletal.svg/110px-Acetic-acid-2D-skeletal.svg.png,"Acetic acid /əˈsiːtɪk/, systematically named ethanoic acid /ˌɛθəˈnoʊɪk/, is an acidic, colourless liquid and organic compound with the chemical formula CH3COOH (also written as CH3CO2H, C2H4O2, or HC2H3O2). Vinegar is at least 4% acetic acid by volume, making acetic acid the main component of vinegar apart from water. It has been used, as a component of vinegar, throughout history from at least the third century BC."
Benzene,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Benzene-3D-vdW.png/150px-Benzene-3D-vdW.png,"Benzene is an organic chemical compound with the molecular formula C6H6. The benzene molecule is composed of six carbon atoms joined in a planar hexagonal ring with one hydrogen atom attached to each. Because it contains only carbon and hydrogen atoms, benzene is classed as a hydrocarbon."
Phenol,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Phenol2.svg/80px-Phenol2.svg.png,"Phenol (also known as carbolic acid, phenolic acid, or benzenol) is an aromatic organic compound with the molecular formula C6H5OH.[5] It is a white crystalline solid that is volatile. The molecule consists of a phenyl group (−C6H5) bonded to a hydroxy group (−OH). Mildly acidic, it requires careful handling because it can cause chemical burns.[5]"
Acetone,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Acetone-CRC-MW-ED-dimensions-2D-Vector.svg/136px-Acetone-CRC-MW-ED-dimensions-2D-Vector.svg.png,"Acetone (2-propanone or dimethyl ketone) is an organic compound with the formula (CH3)2CO.[22] It is the simplest and smallest ketone (>C=O).  It is a colorless, highly volatile, and flammable liquid with a characteristic pungent odour, very reminiscent of the smell of pear drops."
Toluene,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Toluol.svg/80px-Toluol.svg.png,"Toluene (/ˈtɒl.juiːn/), also known as toluol (/ˈtɒl.ju.ɒl, -ɔːl, -oʊl/), is a substituted aromatic hydrocarbon[15] with the chemical formula C6H5CH3, often abbreviated as PhCH3, where Ph stands for phenyl group. It is a colorless, water-insoluble liquid with the odor associated with paint thinners. It is a mono-substituted benzene derivative, consisting of a methyl group (CH3) attached to a phenyl group by a single bond. As such, its systematic IUPAC name is methylbenzene. Toluene is predominantly used as an industrial feedstock and a solvent."
Ethylene glycol,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Ethylene_glycol.svg/220px-Ethylene_glycol.svg.png,External SDS 2
Aniline,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Structural_formula_of_aniline.svg/110px-Structural_formula_of_aniline.svg.png,"Aniline (from Portuguese  anil 'indigo shrub', and -ine indicating a derived substance)[6] is an organic compound with the formula C6H5NH2. Consisting of a phenyl group (−C6H5) attached to an amino group (−NH2), aniline is the simplest aromatic amine. It is an industrially significant commodity chemical, as well as a versatile starting material for fine chemical synthesis. Its main use is in the manufacture of precursors to polyurethane, dyes, and other industrial chemicals. Like most volatile amines, it has the odor of rotten fish. It ignites readily, burning with a smoky flame characteristic of aromatic compounds.[7] It is toxic to humans."
Propane,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Propane-2D-Skeletal.svg/110px-Propane-2D-Skeletal.svg.png,"Propane (/ˈproʊpeɪn/) is a three-carbon alkane with the molecular formula C3H8. It is a gas at standard temperature and pressure, but compressible to a transportable liquid. A by-product of natural gas processing and petroleum refining, it is commonly used as a fuel in domestic and industrial applications and in low-emissions public transportation. Discovered in 1857 by the French chemist Marcellin Berthelot, it became commercially available in the US by 1911. Propane is one of a group of liquefied petroleum gases (LP gases). The others include propylene, butane, butylene, butadiene, isobutylene, and mixtures thereof. Propane has lower volumetric energy density, but higher gravimetric energy density and burns more cleanly than gasoline and coal.[6]"
